Name,Slot,Damage,Armor,Spirit,Stamina,Worth,Desc
Abjurers Cloak,back,0,0,0,0,0,Nothing
Acidproof Cloak,back,0,0,0,0,0,Nothing
Adventurers Cape,back,0,0,0,0,0,Nothing
Amplifying Cloak,back,0,0,0,0,0,Nothing
Ancient Cloak,back,0,0,0,0,0,Nothing
Antiquated Cloak,back,0,0,0,0,0,Nothing
Arachnidian Cape,back,0,0,0,0,0,Nothing
Arcane Cloak,back,0,0,0,0,0,Nothing
Archers Cloak,back,0,0,0,0,0,Nothing
Aurora Cloak,back,0,0,0,0,0,Nothing
Azure Silk Cloak,back,0,0,0,0,0,Nothing
Banded Cloak,back,0,0,0,0,0,Nothing
Bandit Cloak,back,0,0,0,0,0,Nothing
Barkeepers Cloak,back,0,0,0,0,0,Nothing
Battleforge Cloak,back,0,0,0,0,0,Nothing
Battlehard Cape,back,0,0,0,0,0,Nothing
Big Voodoo Cloak,back,0,0,0,0,0,Nothing
Black Whelp Cloak,back,0,0,0,0,0,Nothing
Blackforge Cape,back,0,0,0,0,0,Nothing
Bloodlust Cape,back,0,0,0,0,0,Nothing
Bloodwoven Cloak,back,0,0,0,0,0,Nothing
Boar Hunters Cape,back,0,0,0,0,0,Nothing
Bonecasters Cape,back,0,0,0,0,0,Nothing
Bonelink Cape,back,0,0,0,0,0,Nothing
Brigade Cloak,back,0,0,0,0,0,Nothing
Bright Cloak,back,0,0,0,0,0,Nothing
Brightcloth Cloak,back,0,0,0,0,0,Nothing
Brilliant Red Cloak,back,0,0,0,0,0,Nothing
Bristlebark Cape,back,0,0,0,0,0,Nothing
Buccaneers Cape,back,0,0,0,0,0,Nothing
Buckskin Cape,back,0,0,0,0,0,Nothing
Burnished Cloak,back,0,0,0,0,0,Nothing
Cabalist Cloak,back,0,0,0,0,0,Nothing
Captains Cloak,back,0,0,0,0,0,Nothing
Celestial Cape,back,0,0,0,0,0,Nothing
Ceremonial Centaur Blanket,back,0,0,0,0,0,Nothing
Cerise Drape,back,0,0,0,0,0,Nothing
Chainlink Towel,back,0,0,0,0,0,Nothing
Champions Cape,back,0,0,0,0,0,Nothing
Chemists Smock,back,0,0,0,0,0,Nothing
Chief Brigadier Cloak,back,0,0,0,0,0,Nothing
Chieftains Cloak,back,0,0,0,0,0,Nothing
Cindercloth Cloak,back,0,0,0,0,0,Nothing
Cloak of Blight,back,0,0,0,0,0,Nothing
Cloak of Night,back,0,0,0,0,0,Nothing
Cloak of Rot,back,0,0,0,0,0,Nothing
Cloak of the Faith,back,0,0,0,0,0,Nothing
Cloak of the Peoples Militia,back,0,0,0,0,0,Nothing
Combat Cloak,back,0,0,0,0,0,Nothing
Conjurers Cloak,back,0,0,0,0,0,Nothing
Councillors Cloak,back,0,0,0,0,0,Nothing
Crimson Silk Cloak,back,0,0,0,0,0,Nothing
Crusaders Cloak,back,0,0,0,0,0,Nothing
Cutthroats Cape,back,0,0,0,0,0,Nothing
Darkmist Cape,back,0,0,0,0,0,Nothing
Darktide Cape,back,0,0,0,0,0,Nothing
Deep River Cloak,back,0,0,0,0,0,Nothing
Defender Cloak,back,0,0,0,0,0,Nothing
Dervish Cape,back,0,0,0,0,0,Nothing
Desperado Cape,back,0,0,0,0,0,Nothing
Deviate Scale Cloak,back,0,0,0,0,0,Nothing
Dokebi Cape,back,0,0,0,0,0,Nothing
Durable Cape,back,0,0,0,0,0,Nothing
Duskwoven Cape,back,0,0,0,0,0,Nothing
Dwarven Guard Cloak,back,0,0,0,0,0,Nothing
Ebonhold Cloak,back,0,0,0,0,0,Nothing
Eidolon Cloak,back,0,0,0,0,0,Nothing
Elders Cloak,back,0,0,0,0,0,Nothing
Elegant Cloak,back,0,0,0,0,0,Nothing
Elunarian Cloak,back,0,0,0,0,0,Nothing
Emberscale Cape,back,0,0,0,0,0,Nothing
Embersilk Cloak,back,0,0,0,0,0,Nothing
Emblazoned Cloak,back,0,0,0,0,0,Nothing
Enchanted Moonstalker Cloak,back,0,0,0,0,0,Nothing
Enduring Cape,back,0,0,0,0,0,Nothing
Engineers Cloak,back,0,0,0,0,0,Nothing
Engraved Cape,back,0,0,0,0,0,Nothing
Eternal Cloak,back,0,0,0,0,0,Nothing
Ethereal Mist Cape,back,0,0,0,0,0,Nothing
Feathered Cape,back,0,0,0,0,0,Nothing
Fenrus Hide,back,0,0,0,0,0,Nothing
Feral Cloak,back,0,0,0,0,0,Nothing
Feyscale Cloak,back,0,0,0,0,0,Nothing
Fiery Cloak,back,0,0,0,0,0,Nothing
Fine Leather Cloak,back,0,0,0,0,0,Nothing
Finely Woven Cloak,back,0,0,0,0,0,Nothing
Forest Cloak,back,0,0,0,0,0,Nothing
Formidable Cape,back,0,0,0,0,0,Nothing
Fortified Cloak,back,0,0,0,0,0,Nothing
Frost Leather Cloak,back,0,0,0,0,0,Nothing
Gaeas Cloak,back,0,0,0,0,0,Nothing
Garrison Cloak,back,0,0,0,0,0,Nothing
Geomancers Cloak,back,0,0,0,0,0,Nothing
Ghostwalker Cloak,back,0,0,0,0,0,Nothing
Glimmering Cloak,back,0,0,0,0,0,Nothing
Glyphed Cloak,back,0,0,0,0,0,Nothing
Gossamer Cape,back,0,0,0,0,0,Nothing
Grand Cloak,back,0,0,0,0,0,Nothing
Greenweave Cloak,back,0,0,0,0,0,Nothing
Grimsteel Cape,back,0,0,0,0,0,Nothing
Grunts Cape,back,0,0,0,0,0,Nothing
Gryphon Cloak,back,0,0,0,0,0,Nothing
Guardian Cloak,back,0,0,0,0,0,Nothing
Gustweald Cloak,back,0,0,0,0,0,Nothing
Hameyas Cloak,back,0,0,0,0,0,Nothing
Harvest Cloak,back,0,0,0,0,0,Nothing
Hawkeyes Cloak,back,0,0,0,0,0,Nothing
Headhunters Cloak,back,0,0,0,0,0,Nothing
Heavy Runed Cloak,back,0,0,0,0,0,Nothing
Heavy Woolen Cloak,back,0,0,0,0,0,Nothing
Heraldic Cloak,back,0,0,0,0,0,Nothing
Heros Cape,back,0,0,0,0,0,Nothing
Hibernal Cloak,back,0,0,0,0,0,Nothing
Hide of Lupos,back,0,0,0,0,0,Nothing
High Apothecary Cloak,back,0,0,0,0,0,Nothing
High Councillors Cloak,back,0,0,0,0,0,Nothing
Highborne Cloak,back,0,0,0,0,0,Nothing
Hulking Cloak,back,0,0,0,0,0,Nothing
Huntsmans Cape,back,0,0,0,0,0,Nothing
Impenetrable Cloak,back,0,0,0,0,0,Nothing
Imperial Cloak,back,0,0,0,0,0,Nothing
Imperial Red Cloak,back,0,0,0,0,0,Nothing
Imposing Cape,back,0,0,0,0,0,Nothing
Indomitable Cloak,back,0,0,0,0,0,Nothing
Inferno Cloak,back,0,0,0,0,0,Nothing
Infiltrator Cloak,back,0,0,0,0,0,Nothing
Inscribed Cloak,back,0,0,0,0,0,Nothing
Insignia Cloak,back,0,0,0,0,0,Nothing
Ironhide Cloak,back,0,0,0,0,0,Nothing
Ivycloth Cloak,back,0,0,0,0,0,Nothing
Jadefire Cloak,back,0,0,0,0,0,Nothing
Jazeraint Cloak,back,0,0,0,0,0,Nothing
Keepers Cloak,back,0,0,0,0,0,Nothing
Khans Cloak,back,0,0,0,0,0,Nothing
Knights Cloak,back,0,0,0,0,0,Nothing
Lambent Scale Cloak,back,0,0,0,0,0,Nothing
Long Draping Cape,back,0,0,0,0,0,Nothing
Long Silken Cloak,back,0,0,0,0,0,Nothing
Lords Cape,back,0,0,0,0,0,Nothing
Lunar Cloak,back,0,0,0,0,0,Nothing
Magnificent Cloak,back,0,0,0,0,0,Nothing
Marauders Cloak,back,0,0,0,0,0,Nothing
Master Apothecary Cape,back,0,0,0,0,0,Nothing
Masters Cloak,back,0,0,0,0,0,Nothing
Masterwork Cape,back,0,0,0,0,0,Nothing
Medicine Blanket,back,0,0,0,0,0,Nothing
Merciless Cloak,back,0,0,0,0,0,Nothing
Mercurial Cloak,back,0,0,0,0,0,Nothing
Mighty Cloak,back,0,0,0,0,0,Nothing
Miners Cape,back,0,0,0,0,0,Nothing
Mistscape Cloak,back,0,0,0,0,0,Nothing
Mourning Shawl,back,0,0,0,0,0,Nothing
Myrmidons Cape,back,0,0,0,0,0,Nothing
Mystic Shawl,back,0,0,0,0,0,Nothing
Mystics Cape,back,0,0,0,0,0,Nothing
Mystical Cape,back,0,0,0,0,0,Nothing
Nightshade Cloak,back,0,0,0,0,0,Nothing
Nightsky Cloak,back,0,0,0,0,0,Nothing
Nocturnal Cloak,back,0,0,0,0,0,Nothing
Opulent Cape,back,0,0,0,0,0,Nothing
Ornate Cloak,back,0,0,0,0,0,Nothing
Outrunners Cloak,back,0,0,0,0,0,Nothing
Overseers Cloak,back,0,0,0,0,0,Nothing
Pagan Cape,back,0,0,0,0,0,Nothing
Parachute Cloak,back,0,0,0,0,0,Nothing
Pathfinder Cloak,back,0,0,0,0,0,Nothing
Pearl-clasped Cloak,back,0,0,0,0,0,Nothing
Peerless Cloak,back,0,0,0,0,0,Nothing
Phalanx Cloak,back,0,0,0,0,0,Nothing
Pillagers Cloak,back,0,0,0,0,0,Nothing
Potent Cape,back,0,0,0,0,0,Nothing
Praetorian Cloak,back,0,0,0,0,0,Nothing
Prelacy Cape,back,0,0,0,0,0,Nothing
Pridelord Cape,back,0,0,0,0,0,Nothing
Privateers Cape,back,0,0,0,0,0,Nothing
Prospectors Cloak,back,0,0,0,0,0,Nothing
Protector Cape,back,0,0,0,0,0,Nothing
Rageclaw Cloak,back,0,0,0,0,0,Nothing
Raiders Cloak,back,0,0,0,0,0,Nothing
Raincaller Cloak,back,0,0,0,0,0,Nothing
Raincaster Drape,back,0,0,0,0,0,Nothing
Ranger Cloak,back,0,0,0,0,0,Nothing
Rat Cloth Cloak,back,0,0,0,0,0,Nothing
Rathorians Cape,back,0,0,0,0,0,Nothing
Ravagers Cloak,back,0,0,0,0,0,Nothing
Regal Cloak,back,0,0,0,0,0,Nothing
Regents Cloak,back,0,0,0,0,0,Nothing
Renegade Cloak,back,0,0,0,0,0,Nothing
Repairmans Cape,back,0,0,0,0,0,Nothing
Resilient Cape,back,0,0,0,0,0,Nothing
Resilient Poncho,back,0,0,0,0,0,Nothing
Resplendent Cloak,back,0,0,0,0,0,Nothing
Righteous Cloak,back,0,0,0,0,0,Nothing
Rigid Cape,back,0,0,0,0,0,Nothing
Ritual Cape,back,0,0,0,0,0,Nothing
Robust Cloak,back,0,0,0,0,0,Nothing
Royal Cape,back,0,0,0,0,0,Nothing
Runecloth Cloak,back,0,0,0,0,0,Nothing
Sages Cloak,back,0,0,0,0,0,Nothing
Sanguine Cape,back,0,0,0,0,0,Nothing
Scaled Cloak,back,0,0,0,0,0,Nothing
Scorched Cape,back,0,0,0,0,0,Nothing
Scorpashi Cape,back,0,0,0,0,0,Nothing
Scouting Cloak,back,0,0,0,0,0,Nothing
Seers Cape,back,0,0,0,0,0,Nothing
Sentinel Cloak,back,0,0,0,0,0,Nothing
Sentrys Cape,back,0,0,0,0,0,Nothing
Serpentskin Cloak,back,0,0,0,0,0,Nothing
Shaleskin Cape,back,0,0,0,0,0,Nothing
Shimmering Cloak,back,0,0,0,0,0,Nothing
Silksand Cape,back,0,0,0,0,0,Nothing
Silver-thread Cloak,back,0,0,0,0,0,Nothing
Slayers Cape,back,0,0,0,0,0,Nothing
Smokeys Drape,back,0,0,0,0,0,Nothing
Soft Willow Cape,back,0,0,0,0,0,Nothing
Sorcerer Cloak,back,0,0,0,0,0,Nothing
Sowers Cloak,back,0,0,0,0,0,Nothing
Sparkleshell Cloak,back,0,0,0,0,0,Nothing
Spiked Chain Cloak,back,0,0,0,0,0,Nothing
Spirit Cloak,back,0,0,0,0,0,Nothing
Sporid Cape,back,0,0,0,0,0,Nothing
Spritekin Cloak,back,0,0,0,0,0,Nothing
Stargazer Cloak,back,0,0,0,0,0,Nothing
Steadfast Cloak,back,0,0,0,0,0,Nothing
Stonecloth Cape,back,0,0,0,0,0,Nothing
Stonemason Cloak,back,0,0,0,0,0,Nothing
Subterranean Cape,back,0,0,0,0,0,Nothing
Sunborne Cape,back,0,0,0,0,0,Nothing
Superior Cloak,back,0,0,0,0,0,Nothing
Supreme Cape,back,0,0,0,0,0,Nothing
Swashbucklers Cape,back,0,0,0,0,0,Nothing
Swiftrunner Cape,back,0,0,0,0,0,Nothing
Sylvan Cloak,back,0,0,0,0,0,Nothing
Thick Scale Cloak,back,0,0,0,0,0,Nothing
Thistlefur Cloak,back,0,0,0,0,0,Nothing
Timberland Cape,back,0,0,0,0,0,Nothing
Trackers Cloak,back,0,0,0,0,0,Nothing
Travelers Cloak,back,0,0,0,0,0,Nothing
Tricksters Cloak,back,0,0,0,0,0,Nothing
Triumphant Cloak,back,0,0,0,0,0,Nothing
Twilight Cape,back,0,0,0,0,0,Nothing
Venomshroud Cape,back,0,0,0,0,0,Nothing
Vibrant Silk Cape,back,0,0,0,0,0,Nothing
Vital Cape,back,0,0,0,0,0,Nothing
Wanderers Cloak,back,0,0,0,0,0,Nothing
War Paint Cloak,back,0,0,0,0,0,Nothing
Wardens Cloak,back,0,0,0,0,0,Nothing
Warmongers Cloak,back,0,0,0,0,0,Nothing
Warstrike Cape,back,0,0,0,0,0,Nothing
Watch Masters Cloak,back,0,0,0,0,0,Nothing
Watchers Cape,back,0,0,0,0,0,Nothing
Webwing Cloak,back,0,0,0,0,0,Nothing
Weighted Cloak,back,0,0,0,0,0,Nothing
Well Oiled Cloak,back,0,0,0,0,0,Nothing
Wicked Chain Cloak,back,0,0,0,0,0,Nothing
Wild Leather Cloak,back,0,0,0,0,0,Nothing
Wildhunter Cloak,back,0,0,0,0,0,Nothing
Willow Cape,back,0,0,0,0,0,Nothing
Windchaser Cloak,back,0,0,0,0,0,Nothing
Windsong Drape,back,0,0,0,0,0,Nothing
Wingveil Cloak,back,0,0,0,0,0,Nothing
Wolf Riders Cloak,back,0,0,0,0,0,Nothing
Wolfmaster Cape,back,0,0,0,0,0,Nothing
Wranglers Cloak,back,0,0,0,0,0,Nothing
Yeti Fur Cloak,back,0,0,0,0,0,Nothing
Zephyr Cloak,back,0,0,0,0,0,Nothing
Aboriginal Cape,back,0,0,0,0,0,Nothing
Adepts Cloak,back,0,0,0,0,0,Nothing
Ancestral Cloak,back,0,0,0,0,0,Nothing
Barbaric Cloth Cloak,back,0,0,0,0,0,Nothing
Bards Cloak,back,0,0,0,0,0,Nothing
Battered Cloak,back,0,0,0,0,0,Nothing
Battle Chain Cloak,back,0,0,0,0,0,Nothing
Battleworn Cape,back,0,0,0,0,0,Nothing
Beaded Cloak,back,0,0,0,0,0,Nothing
Bear Shawl,back,0,0,0,0,0,Nothing
Bloodspattered Cloak,back,0,0,0,0,0,Nothing
Brackwater Cloak,back,0,0,0,0,0,Nothing
Burnt Cloak,back,0,0,0,0,0,Nothing
Cadet Cloak,back,0,0,0,0,0,Nothing
Ceremonial Cloak,back,0,0,0,0,0,Nothing
Chargers Cloak,back,0,0,0,0,0,Nothing
Dark Leather Cloak,back,0,0,0,0,0,Nothing
Demon Scarred Cloak,back,0,0,0,0,0,Nothing
Disciples Cloak,back,0,0,0,0,0,Nothing
Draped Cloak,back,0,0,0,0,0,Nothing
Embossed Leather Cloak,back,0,0,0,0,0,Nothing
Ensign Cloak,back,0,0,0,0,0,Nothing
Goat Fur Cloak,back,0,0,0,0,0,Nothing
Grizzly Cape,back,0,0,0,0,0,Nothing
Gypsy Cloak,back,0,0,0,0,0,Nothing
Handsewn Cloak,back,0,0,0,0,0,Nothing
Handstitched Leather Cloak,back,0,0,0,0,0,Nothing
Hillmans Cloak,back,0,0,0,0,0,Nothing
Hunting Cloak,back,0,0,0,0,0,Nothing
Infantry Cloak,back,0,0,0,0,0,Nothing
Journeymans Cloak,back,0,0,0,0,0,Nothing
Linen Cloak,back,0,0,0,0,0,Nothing
Lupine Cloak,back,0,0,0,0,0,Nothing
Melraches Cape,back,0,0,0,0,0,Nothing
Native Cloak,back,0,0,0,0,0,Nothing
Oil-stained Cloak,back,0,0,0,0,0,Nothing
Old Blanchys Blanket,back,0,0,0,0,0,Nothing
Pioneer Cloak,back,0,0,0,0,0,Nothing
Primal Cape,back,0,0,0,0,0,Nothing
Rain-spotted Cape,back,0,0,0,0,0,Nothing
Reinforced Linen Cape,back,0,0,0,0,0,Nothing
Rugged Cape,back,0,0,0,0,0,Nothing
Scouts Cloak,back,0,0,0,0,0,Nothing
Seasoned Fighters Cloak,back,0,0,0,0,0,Nothing
Short Duskbat Cape,back,0,0,0,0,0,Nothing
Simple Cape,back,0,0,0,0,0,Nothing
Soldiers Cloak,back,0,0,0,0,0,Nothing
Spellbinder Cloak,back,0,0,0,0,0,Nothing
Sun-beaten Cloak,back,0,0,0,0,0,Nothing
Thunderhorn Cloak,back,0,0,0,0,0,Nothing
Tribal Cloak,back,0,0,0,0,0,Nothing
Veteran Cloak,back,0,0,0,0,0,Nothing
War Torn Cape,back,0,0,0,0,0,Nothing
Warm Cloak,back,0,0,0,0,0,Nothing
Warriors Cloak,back,0,0,0,0,0,Nothing
Webbed Cloak,back,0,0,0,0,0,Nothing
Wendigo Fur Cloak,back,0,0,0,0,0,Nothing
Wine-stained Cloak,back,0,0,0,0,0,Nothing
Wispy Cloak,back,0,0,0,0,0,Nothing
Woolen Cape,back,0,0,0,0,0,Nothing
Brocade Cloak,back,0,0,0,0,0,Nothing
Calico Cloak,back,0,0,0,0,0,Nothing
Canvas Cloak,back,0,0,0,0,0,Nothing
Crochet Cloak,back,0,0,0,0,0,Nothing
Cross-stitched Cloak,back,0,0,0,0,0,Nothing
Double-stitched Cloak,back,0,0,0,0,0,Nothing
Flimsy Chain Cloak,back,0,0,0,0,0,Nothing
Frayed Cloak,back,0,0,0,0,0,Nothing
Hardened Cloak,back,0,0,0,0,0,Nothing
Interlaced Cloak,back,0,0,0,0,0,Nothing
Laced Cloak,back,0,0,0,0,0,Nothing
Laminated Scale Cloak,back,0,0,0,0,0,Nothing
Linked Chain Cloak,back,0,0,0,0,0,Nothing
Loose Chain Cloak,back,0,0,0,0,0,Nothing
Overlinked Chain Cloak,back,0,0,0,0,0,Nothing
Patched Cloak,back,0,0,0,0,0,Nothing
Patchwork Cloak,back,0,0,0,0,0,Nothing
Ragged Cloak,back,0,0,0,0,0,Nothing
Rawhide Cloak,back,0,0,0,0,0,Nothing
Reinforced Chain Cloak,back,0,0,0,0,0,Nothing
Smooth Cloak,back,0,0,0,0,0,Nothing
Thick Cloak,back,0,0,0,0,0,Nothing
Tough Cloak,back,0,0,0,0,0,Nothing
Twill Cloak,back,0,0,0,0,0,Nothing
Warped Cloak,back,0,0,0,0,0,Nothing
Worn Cloak,back,0,0,0,0,0,Nothing
Worn Hide Cloak,back,0,0,0,0,0,Nothing
Alannas Embrace,chest,0,0,0,0,0,Nothing
Arcanist Robes,chest,0,0,0,0,0,Nothing
Black Ash Robe,chest,0,0,0,0,0,Nothing
Crystal Webbed Robe,chest,0,0,0,0,0,Nothing
Darkwater Robes,chest,0,0,0,0,0,Nothing
Deathmist Robe,chest,0,0,0,0,0,Nothing
Doomcallers Robes,chest,0,0,0,0,0,Nothing
Embrace of the Wind Serpent,chest,0,0,0,0,0,Nothing
Enigma Robes,chest,0,0,0,0,0,Nothing
Felheart Robes,chest,0,0,0,0,0,Nothing
Field Marshals Dreadweave Robe,chest,0,0,0,0,0,Nothing
Field Marshals Satin Vestments,chest,0,0,0,0,0,Nothing
Field Marshals Silk Vestments,chest,0,0,0,0,0,Nothing
Flarecore Robe,chest,0,0,0,0,0,Nothing
Flowing Ritual Robes,chest,0,0,0,0,0,Nothing
Frostfire Robe,chest,0,0,0,0,0,Nothing
Garb of Royal Ascension,chest,0,0,0,0,0,Nothing
Glacial Vest,chest,0,0,0,0,0,Nothing
Jade Inlaid Vestments,chest,0,0,0,0,0,Nothing
Necro-Knights Garb,chest,0,0,0,0,0,Nothing
Nemesis Robes,chest,0,0,0,0,0,Nothing
Netherwind Robes,chest,0,0,0,0,0,Nothing
Plagueheart Robe,chest,0,0,0,0,0,Nothing
Robe of Faith,chest,0,0,0,0,0,Nothing
Robe of the Archmage,chest,0,0,0,0,0,Nothing
Robe of the Void,chest,0,0,0,0,0,Nothing
Robe of Volatile Power,chest,0,0,0,0,0,Nothing
Robes of Insight,chest,0,0,0,0,0,Nothing
Robes of Prophecy,chest,0,0,0,0,0,Nothing
Robes of the Battleguard,chest,0,0,0,0,0,Nothing
Robes of the Guardian Saint,chest,0,0,0,0,0,Nothing
Robes of the Triumvirate,chest,0,0,0,0,0,Nothing
Robes of Transcendence,chest,0,0,0,0,0,Nothing
Sorcerers Robes,chest,0,0,0,0,0,Nothing
Truefaith Vestments,chest,0,0,0,0,0,Nothing
Vestments of the Oracle,chest,0,0,0,0,0,Nothing
Vestments of the Shifting Sands,chest,0,0,0,0,0,Nothing
Virtuous Robe,chest,0,0,0,0,0,Nothing
Warlords Dreadweave Robe,chest,0,0,0,0,0,Nothing
Warlords Satin Robes,chest,0,0,0,0,0,Nothing
Warlords Silk Raiment,chest,0,0,0,0,0,Nothing
